ticker,cik
dish,1001082
dg,29534
dltr,935703
d,715957
dov,29905
dwdp,1666700
dte,936340
dre,783280
duk,1326160
dxc,1688568
etfc,1015780
emn,915389
etn,1551182
ebay,1065088
ecl,31462
eix,827052
ew,1099800
ea,712515
emr,32604
etr,65984
eog,821189
efx,33185
eqix,1101239
eqr,906107
ess,920522
el,1001250
evrg,1711269
es,72741
re,1095073
exc,1109357
expe,1324424
expd,746515
exr,1289490
xom,34088
ffiv,1048695
fb,1326801
fast,815556
frt,34903
fdx,1048911
fis,1136893
fitb,35527
fe,1031296
frc,1132979
fisv,798354
flt,1175454
flir,354908
fls,30625
flr,1124198
fmc,37785
fl,850209
f,37996
ftnt,1262039
ftv,1659166
fbhs,1519751
ben,38777
fcx,831259
gps,39911
grmn,1121788
it,749251
gd,40533
ge,40545
gis,40704
gm,1467858
gpc,40987
gild,882095
gpn,1123360
gs,886982
gww,277135
hal,45012
hbi,1359841
hog,793952
hrs,202058
hig,874766
has,46080
hca,860730
hcp,765880
hp,46765
hsic,1000228
hsy,47111
hes,4447
hpe,1645590
hlt,1585689
hfc,48039
holx,859737
hd,354950
hon,773840
hrl,48465
hst,1070750
hpq,47217
hum,49071
hban,49196
hii,1501585
idxx,874716
info,1598014
itw,49826
ilmn,1110803
ir,1466258
intc,50863
ice,1571949
ibm,51143
incy,879169
ip,51434
ipg,51644
iff,51253
intu,896878
isrg,1035267
ivz,914208
ipgp,1111928
iqv,1478242
irm,1020569
jkhy,779152
jec,52988
jbht,728535
jef,96223
sjm,91419
jnj,200406
jci,833444
jpm,19617
jnpr,1043604
ksu,54480
k,55067
key,91576
keys,1601046
kmb,55785
kim,879101
kmi,1506307
klac,319201
kss,885639
khc,1637459
kr,56873
lb,701985
lll,1039101
lh,920148
lrcx,707549
lw,1679273
leg,58492
len,920760
lly,59478
lnc,59558
lin,1707925
lkq,1065696
lmt,936468
l,60086
low,60667
lyb,1489393
mtb,36270
mac,912242
m,794367
mro,101778
mpc,1510295
mar,1048286
mmc,62709
mlm,916076
mas,62996
ma,1141391
mat,63276
mkc,63754
mxim,743316
mcd,63908
mck,927653
mdt,1613103
mrk,310158
met,1099219
mtd,1037646
mgm,789570
mchp,827054
mu,723125
msft,789019
maa,912595
mhk,851968
tap,24545
mdlz,1103982
mnst,865752
mco,1059556
ms,895421
mos,1285785
msi,68505
msci,1408198
myl,1623613
ndaq,1120193
nov,1021860
nktr,906709
ntap,1002047
nflx,1065280
nwl,814453
nem,1164727
nwsa,1564708
nws,1564708
nee,753308
nlsn,1492633
nke,320187
ni,1111711
nbl,72207
jwn,72333
nsc,702165
ntrs,73124
noc,1133421
nclh,1513761
nrg,1013871
nue,73309
nvda,1045810
orly,898173
oxy,797468
omc,29989
oke,1039684
orcl,1341439
pcar,75362
pkg,75677
ph,76334
payx,723531
pypl,1633917
pnr,77360
pbct,1378946
pep,77476
pki,31791
prgo,1585364
pfe,78003
pm,1413329
psx,1534701
pnw,764622
pxd,1038357
pnc,713676
rl,1037038
ppg,79879
ppl,922224
pfg,1126328
pg,80424
pgr,80661
pld,1045609
pru,1137774
peg,788784
psa,1393311
phm,822416
pvh,78239
qrvo,1604778
pwr,1050915
qcom,804328
dgx,1022079
rjf,720005
rtn,1047122
o,726728
rht,1087423
reg,910606
regn,872589
rf,1281761
rsg,1060391
rmd,943819
rhi,315213
rok,1024478
rol,84839
rop,882835
rost,745732
rcl,884887
crm,1108524
sbac,1034054
slb,87347
stx,1137789
see,1012100
sre,1032208
shw,89800
spg,1063761
swks,4127
slg,1040971
sna,91440
so,92122
luv,92380
spgi,64040
swk,93556
sbux,829224
stt,93751
syk,310764
sti,750556
sivb,719739
symc,849399
syf,1601712
snps,883241
syy,96021
trow,1113169
ttwo,946581
tpr,1116132
tgt,27419
tel,1385157
fti,1681459
tfx,96943
txn,97476
txt,217346
tmo,97745
tif,98246
twtr,1418091
tjx,109198
tmk,320335
tss,721683
tsco,916365
tdg,1260221
trv,86312
trip,1526520
foxa,1308161
fox,1308161
tsn,100493
udr,74208
ulta,1403568
usb,36104
uaa,1336917
ua,1336917
unp,100885
ual,100517
unh,731766
ups,1090727
uri,1067701
utx,101829
uhs,352915
unm,5513
vfc,103379
vlo,1035002
var,203527
vtr,740260
vrsn,1014473
vrsk,1442145
vz,732712
vrtx,875320
viab,1339947
v,1403161
vno,899689
vmc,1396009
wab,943452
wmt,104169
wba,1618921
dis,1001039
wm,823768
wat,1000697
wec,783325
wcg,1279363
wfc,72971
well,766704
wdc,106040
wu,1365135
wrk,1732845
wy,106535
whr,106640
wmb,107263
wltw,1140536
wynn,1174922
xel,72903
xrx,108772
xlnx,743988
xyl,1524472
yum,1041061
zbh,1136869
zion,109380
zts,1555280
